"","variable","missingValues","class","distinctValues","perMissingValues","sampleValue","nonMissingValues","missingPercentage","minimum","mean","maximum","stdDeviation","variance","p01","p05","p10","p25","p50","p75","p90","p95","p99","numOutliers"
"940","TM.TAX.MANF.SR.ZS",3079,"numeric",976,56.81,"0",2341,56.81,0,1.49602005326783,95.65962,6.51990246511207,42.5091281545744,0,0,0,0,0.144989,0.2657372,1.331201,5.824243,39.734722,357
"941","TM.TAX.MANF.WM.AR.ZS",3079,"numeric",1100,56.81,NA,2341,56.81,0,7.10793677915421,86.87,6.58309195061025,43.3370996301894,0,1,1.64,2.14,5.12,10.27,14.9,18.43,30.35,63
"942","TM.TAX.MANF.WM.FN.ZS",3079,"numeric",1062,56.81,"7.38",2341,56.81,0,8.33643741990602,86.87,6.26656490943305,39.2698357641376,0,2.36,3.24,3.44,6.82,11.36,15.21,18.58,30.35,58
"943","TM.TAX.MRCH.BC.ZS",3514,"numeric",302,64.83,"31.67",1906,64.83,7.98,85.27,100,28.1798973824061,794.10661648294,13.442,15.8825,29.72,94.29,100,100,100,100,100,419
"944","TM.TAX.MRCH.BR.ZS",3514,"numeric",606,64.83,NA,1906,64.83,0,29.6261909758657,169.32,29.8658055856358,891.966343278995,0,4.21,4.21,5.53,20.555,41.2975,78.12,94.53,120,95
"945","TM.TAX.MRCH.IP.ZS",3079,"numeric",1583,56.81,NA,2341,56.81,0,20.8772945727467,99.21765,20.8287067189609,433.835023584485,0,0.0014428,1.074459,4.687128,10.21143,37.42294,50.95012,57.00072,85.8264159999999,23
"946","TM.TAX.MRCH.SM.AR.ZS",3079,"numeric",1098,56.81,NA,2341,56.81,0,8.56288765484836,100.57,7.2244498231789,52.1926752476296,0,1.55,2.15,3.31,6.53,12.48,17.41,20.72,31.17,49
"947","TM.TAX.MRCH.SM.FN.ZS",3074,"numeric",895,56.72,NA,2346,56.72,0,9.68365728900256,82.79,6.66395011526865,44.4082311387891,0,3.5625,4.19,5.64,7.55,11.99,17.75,20.835,34.1995000000001,105
"948","TM.TAX.MRCH.SR.ZS",3079,"numeric",1112,56.81,NA,2341,56.81,0,4.04766440089705,95.11867,7.11997471268196,50.6940399092306,0,0,0,0,1.012393,6.798499,8.905187,11.85437,38.36672,69
"949","TM.TAX.MRCH.WM.AR.ZS",3079,"numeric",1069,56.81,"2.5",2341,56.81,0,7.11910721913712,254.58,8.98913759100127,80.8045946299521,0,1.04,1.51,2.14,4.74,9.96,14.75,17.85,27.894,60
"950","TM.TAX.MRCH.WM.FN.ZS",3079,"numeric",1056,56.81,"2.22",2341,56.81,0,8.356864587783,255.79,8.80703794870593,77.5639174299463,0,2.35,2.54,3.63,6.48,11.17,15.43,18.49,27.894,57
"951","TM.TAX.TCOM.BC.ZS",3514,"numeric",245,64.83,NA,1906,64.83,31.81,90.1933420776495,100,16.2733785313516,264.822848824654,53.029,55.36,58.31,86.49,100,100,100,100,100,311
"952","TM.TAX.TCOM.BR.ZS",3514,"numeric",607,64.83,NA,1906,64.83,0,37.8723557187828,189.65,35.96154890351,1293.23299953954,0,3.79,5.01,10.16,27.3,56.28,93.92,107.885,146.81,36
"953","TM.TAX.TCOM.IP.ZS",3079,"numeric",1565,56.81,NA,2341,56.81,0,25.8764679193934,98.81064,19.7041188779354,388.25230075581,0,0,1.786532,11.37468,20.60003,40.34569,53.87097,62.13292,79.8795919999999,15
"954","TM.TAX.TCOM.SM.AR.ZS",3079,"numeric",1186,56.81,NA,2341,56.81,0,10.6273387441264,100.67,7.95719453848136,63.3169449232376,0,1.97,2.58,5.79,8.82,14.37,19.75,23.73,37.646,68
